bin_start,bin_end,frequency
-0.089,-0.083876,1
-0.083876,-0.078752,0
-0.078752,-0.073629,0
-0.073629,-0.068505,0
-0.068505,-0.063381,1
-0.063381,-0.058257,0
-0.058257,-0.053133,1
-0.053133,-0.048009,1
-0.048009,-0.042885,1
-0.042885,-0.037762,4
-0.037762,-0.032638,6
-0.032638,-0.027514,9
-0.027514,-0.02239,18
-0.02239,-0.017266,18
-0.017266,-0.012142,57
-0.012142,-0.007018,96
-0.007018,-0.001895,197
-0.001895,0.003229,348
0.003229,0.008353,336
0.008353,0.013477,166
0.013477,0.018601,60
0.018601,0.023725,19
0.023725,0.028849,10
0.028849,0.033972,2
0.033972,0.039096,1
0.039096,0.04422,0
0.04422,0.049344,1
0.049344,0.054468,0
0.054468,0.059592,0
0.059592,0.064716,1
